id,primary_name,birth_year
nm0001744,Tom Sizemore,1961
nm0000514,Michael Madsen,1957
nm1933472,Edmund Druilhet,1964
nm2921854,Michael Jason Allen,1974
nm2224939,Seth Gandrud,1980
nm1078422,Hirofumi Arai,1979
nm2465387,Joe Hyûga,1972
nm0407511,Mansaku Ikeuchi,1972
nm0033152,Arata Iura,1974
nm1165110,Chris Hemsworth,1983
nm0788335,Michael Shannon,1974
nm0671567,Michael Peña,1976
nm1041023,Navid Negahban,1968
nm0104309,Joyce Branagh,1970
nm0828464,James Castle Stevens,1964
nm3880072,Sophie Bolen,1999
nm2067218,Haruma Miura,1990
nm3460467,Kiko Mizuhara,1990
nm1959800,Kanata Hongô,1990
nm5625923,Dinesh,1984
nm6695317,Anandhi,1993
nm6106368,Munishkanth,1978
nm5414737,Riythvika Panneerselvam,1992
nm2440627,Seung-ryong Ryu,1970
nm2339825,Nam-gil Kim,1980
